region_code,region_name,lat_min,lat_max,lon_min,lon_max,wkt,HWA_cihigh,HWA_cilow,HWA_estimate,HWA_iqr,HWD_cihigh,HWD_cilow,HWD_estimate,HWD_iqr,HWF_cihigh,HWF_cilow,HWF_estimate,HWF_iqr,HWM_cihigh,HWM_cilow,HWM_estimate,HWM_iqr,HWA_cihigh_deg2,HWA_cilow_deg2,HWA_estimate_deg2,HWA_iqr_deg2,HWD_cihigh_deg2,HWD_cilow_deg2,HWD_estimate_deg2,HWD_iqr_deg2,HWF_cihigh_deg2,HWF_cilow_deg2,HWF_estimate_deg2,HWF_iqr_deg2,HWM_cihigh_deg2,HWM_cilow_deg2,HWM_estimate_deg2,HWM_iqr_deg2,HWA_cihigh_deg3,HWA_cilow_deg3,HWA_estimate_deg3,HWA_iqr_deg3,HWD_cihigh_deg3,HWD_cilow_deg3,HWD_estimate_deg3,HWD_iqr_deg3,HWF_cihigh_deg3,HWF_cilow_deg3,HWF_estimate_deg3,HWF_iqr_deg3,HWM_cihigh_deg3,HWM_cilow_deg3,HWM_estimate_deg3,HWM_iqr_deg3,HWA_cihigh_deg4,HWA_cilow_deg4,HWA_estimate_deg4,HWA_iqr_deg4,HWD_cihigh_deg4,HWD_cilow_deg4,HWD_estimate_deg4,HWD_iqr_deg4,HWF_cihigh_deg4,HWF_cilow_deg4,HWF_estimate_deg4,HWF_iqr_deg4,HWM_cihigh_deg4,HWM_cilow_deg4,HWM_estimate_deg4,HWM_iqr_deg4,HWA_cihigh_deg5,HWA_cilow_deg5,HWA_estimate_deg5,HWA_iqr_deg5,HWD_cihigh_deg5,HWD_cilow_deg5,HWD_estimate_deg5,HWD_iqr_deg5,HWF_cihigh_deg5,HWF_cilow_deg5,HWF_estimate_deg5,HWF_iqr_deg5,HWM_cihigh_deg5,HWM_cilow_deg5,HWM_estimate_deg5,HWM_iqr_deg5
AUS,Australia,-45,-11,110,155,"POLYGON ((110 -45, 110 -11, 155 -11, 155 -45, 110 -45))",1.43,0.76,1.17,1.31,9.47,2.06,4.58,5.94,21.73,9.64,16.3,18.69,0.56,0.01,0.39,0.45,2.86,1.52,2.34,2.62,18.94,4.12,9.16,11.88,43.46,19.28,32.6,37.38,1.12,0.02,0.78,0.9,4.29,2.2800000000000002,3.51,3.93,28.410000000000004,6.18,13.74,17.82,65.19,28.92,48.900000000000006,56.07000000000001,1.6800000000000002,0.03,1.17,1.35,5.72,3.04,4.68,5.24,37.88,8.24,18.32,23.76,86.92,38.56,65.2,74.76,2.24,0.04,1.56,1.8,7.1499999999999995,3.8,5.85,6.550000000000001,47.35,10.3,22.9,29.700000000000003,108.65,48.2,81.5,93.45,2.8000000000000003,0.05,1.9500000000000002,2.25
AMZ,Amazon Basin,-20,12,-82,-34,"POLYGON ((-82 -20, -82 12, -34 12, -34 -20, -82 -20))",2,1.1,1.51,1.77,31.44,5.33,16.1,22.37,36.96,20.93,26.5,30.76,1.12,0.32,0.75,0.93,4,2.2,3.02,3.54,62.88,10.66,32.2,44.74,73.92,41.86,53,61.52,2.24,0.64,1.5,1.86,6,3.3000000000000003,4.53,5.3100000000000005,94.32000000000001,15.99,48.300000000000004,67.11,110.88,62.79,79.5,92.28,3.3600000000000003,0.96,2.25,2.79,8,4.4,6.04,7.08,125.76,21.32,64.4,89.48,147.84,83.72,106,123.04,4.48,1.28,3,3.72,10,5.5,7.55,8.85,157.20000000000002,26.65,80.5,111.85000000000001,184.8,104.65,132.5,153.8,5.6000000000000005,1.6,3.75,4.65
SSA,Southern South America,-56,-20,-75,-40,"POLYGON ((-75 -56, -75 -20, -40 -20, -40 -56, -75 -56))",1.67,0.5,1.21,1.34,6.71,1.59,3.4,3.91,21.38,6.18,14.8,16.32,0.57,0.13,0.32,0.39,3.34,1,2.42,2.68,13.42,3.18,6.8,7.82,42.76,12.36,29.6,32.64,1.14,0.26,0.64,0.78,5.01,1.5,3.63,4.0200000000000005,20.13,4.7700000000000005,10.2,11.73,64.14,18.54,44.400000000000006,48.96,1.71,0.39,0.96,1.17,6.68,2,4.84,5.36,26.84,6.36,13.6,15.64,85.52,24.72,59.2,65.28,2.28,0.52,1.28,1.56,8.35,2.5,6.05,6.7,33.55,7.95,17,19.55,106.89999999999999,30.9,74,81.6,2.8499999999999996,0.65,1.6,1.9500000000000002
CAM,Central America,10,30,-116,-83,"POLYGON ((-116 10, -116 30, -83 30, -83 10, -116 10))",1.8,0.59,1.31,1.46,29.79,5.67,17.5,19.89,34.93,13.54,27.3,30.51,0.93,0.03,0.64,0.71,3.6,1.18,2.62,2.92,59.58,11.34,35,39.78,69.86,27.08,54.6,61.02,1.86,0.06,1.28,1.42,5.4,1.77,3.93,4.38,89.37,17.009999999999998,52.5,59.67,104.78999999999999,40.62,81.9,91.53,2.79,0.09,1.92,2.13,7.2,2.36,5.24,5.84,119.16,22.68,70,79.56,139.72,54.16,109.2,122.04,3.72,0.12,2.56,2.84,9,2.9499999999999997,6.550000000000001,7.3,148.95,28.35,87.5,99.45,174.65,67.69999999999999,136.5,152.55,4.65,0.15,3.2,3.55
WNA,Western North America,30,60,-130,-103,"POLYGON ((-130 30, -130 60, -103 60, -103 30, -130 30))",2.12,1.05,1.74,1.86,13.85,2.68,6.41,8.87,30.71,13.34,20.9,24.32,0.61,-0.01,0.29,0.38,4.24,2.1,3.48,3.72,27.7,5.36,12.82,17.74,61.42,26.68,41.8,48.64,1.22,-0.02,0.58,0.76,6.36,3.1500000000000004,5.22,5.58,41.55,8.040000000000001,19.23,26.61,92.13,40.019999999999996,62.699999999999996,72.96000000000001,1.83,-0.03,0.8699999999999999,1.1400000000000001,8.48,4.2,6.96,7.44,55.4,10.72,25.64,35.48,122.84,53.36,83.6,97.28,2.44,-0.04,1.16,1.52,10.600000000000001,5.25,8.7,9.3,69.25,13.4,32.05,44.349999999999994,153.55,66.7,104.5,121.6,3.05,-0.05,1.45,1.9
CNA,Central North America,30,50,-103,-85,"POLYGON ((-103 30, -103 50, -85 50, -85 30, -103 30))",2.65,0.89,1.73,1.93,15.71,1.64,6.15,8.12,32.87,8.42,20.7,25.13,0.79,0.15,0.33,0.47,5.3,1.78,3.46,3.86,31.42,3.28,12.3,16.24,65.74,16.84,41.4,50.26,1.58,0.3,0.66,0.94,7.949999999999999,2.67,5.1899999999999995,5.79,47.13,4.92,18.450000000000003,24.36,98.60999999999999,25.259999999999998,62.099999999999994,75.39,2.37,0.44999999999999996,0.99,1.41,10.6,3.56,6.92,7.72,62.84,6.56,24.6,32.48,131.48,33.68,82.8,100.52,3.16,0.6,1.32,1.88,13.25,4.45,8.65,9.65,78.55000000000001,8.2,30.75,40.599999999999994,164.35,42.1,103.5,125.64999999999999,3.95,0.75,1.6500000000000001,2.3499999999999996
ENA,Eastern North America,25,50,-85,-60,"POLYGON ((-85 25, -85 50, -60 50, -60 25, -85 25))",2.4,0.92,1.65,1.88,26.7,2.54,8.42,10.24,36.23,16.62,26.3,28.9,0.73,0.19,0.35,0.48,4.8,1.84,3.3,3.76,53.4,5.08,16.84,20.48,72.46,33.24,52.6,57.8,1.46,0.38,0.7,0.96,7.199999999999999,2.7600000000000002,4.949999999999999,5.64,80.1,7.62,25.259999999999998,30.72,108.69,49.86,78.9,86.69999999999999,2.19,0.5700000000000001,1.0499999999999998,1.44,9.6,3.68,6.6,7.52,106.8,10.16,33.68,40.96,144.92,66.48,105.2,115.6,2.92,0.76,1.4,1.92,12,4.6000000000000005,8.25,9.399999999999999,133.5,12.7,42.1,51.2,181.14999999999998,83.10000000000001,131.5,144.5,3.65,0.95,1.75,2.4
ALA,Alaska,60,72,-170,-103,"POLYGON ((-170 60, -170 72, -103 72, -103 60, -170 60))",2.98,0.62,1.44,1.68,15.13,2.61,4.53,6.92,27.32,10.37,16.8,20.42,0.76,-0.29,0.19,0.45,5.96,1.24,2.88,3.36,30.26,5.22,9.06,13.84,54.64,20.74,33.6,40.84,1.52,-0.58,0.38,0.9,8.94,1.8599999999999999,4.32,5.04,45.39,7.83,13.59,20.759999999999998,81.96000000000001,31.11,50.400000000000006,61.260000000000005,2.2800000000000002,-0.8699999999999999,0.5700000000000001,1.35,11.92,2.48,5.76,6.72,60.52,10.44,18.12,27.68,109.28,41.48,67.2,81.68,3.04,-1.16,0.76,1.8,14.9,3.1,7.199999999999999,8.4,75.65,13.049999999999999,22.650000000000002,34.6,136.6,51.849999999999994,84,102.10000000000001,3.8,-1.45,0.95,2.25
GRL,Greenland,50,85,-103,-10,"POLYGON ((-103 50, -103 85, -10 85, -10 50, -103 50))",2.16,0.73,1.3,1.53,23.02,3.31,6.12,10.38,30.23,14.78,19.7,23.81,0.6,-0.07,0.2,0.34,4.32,1.46,2.6,3.06,46.04,6.62,12.24,20.76,60.46,29.56,39.4,47.62,1.2,-0.14,0.4,0.68,6.48,2.19,3.9000000000000004,4.59,69.06,9.93,18.36,31.14,90.69,44.339999999999996,59.099999999999994,71.42999999999999,1.7999999999999998,-0.21000000000000002,0.6000000000000001,1.02,8.64,2.92,5.2,6.12,92.08,13.24,24.48,41.52,120.92,59.12,78.8,95.24,2.4,-0.28,0.8,1.36,10.8,3.65,6.5,7.65,115.1,16.55,30.6,51.900000000000006,151.15,73.89999999999999,98.5,119.05,3,-0.35000000000000003,1,1.7000000000000002
MED,Mediterranean Basin,30,48,-10,40,"POLYGON ((-10 30, -10 48, 40 48, 40 30, -10 30))",2.36,1.64,1.9,2.15,17.48,3.96,8.55,11.45,31.32,17.44,24.1,27.02,0.56,0.16,0.38,0.42,4.72,3.28,3.8,4.3,34.96,7.92,17.1,22.9,62.64,34.88,48.2,54.04,1.12,0.32,0.76,0.84,7.08,4.92,5.699999999999999,6.449999999999999,52.44,11.879999999999999,25.650000000000002,34.349999999999994,93.96000000000001,52.32000000000001,72.30000000000001,81.06,1.6800000000000002,0.48,1.1400000000000001,1.26,9.44,6.56,7.6,8.6,69.92,15.84,34.2,45.8,125.28,69.76,96.4,108.08,2.24,0.64,1.52,1.68,11.799999999999999,8.2,9.5,10.75,87.4,19.8,42.75,57.25,156.6,87.2,120.5,135.1,2.8000000000000003,0.8,1.9,2.1
