region_code,hw_stat,estimate,cilow,cihigh,iqr
AUS,HWF,16.3,9.64,21.73,18.69
AMZ,HWF,26.5,20.93,36.96,30.76
SSA,HWF,14.8,6.18,21.38,16.32
CAM,HWF,27.3,13.54,34.93,30.51
WNA,HWF,20.9,13.34,30.71,24.32
CAN,HWF,20.7,8.42,32.87,25.13
ENA,HWF,26.3,16.62,36.23,28.90
ALA,HWF,16.8,10.37,27.32,20.42
GRL,HWF,19.7,14.78,30.23,23.81
MED,HWF,24.1,17.44,31.32,27.02
NEU,HWF,16.1,7.43,25.08,21.30
WAF,HWF,26.4,7.53,37.92,30.35
EAF,HWF,25.5,8.62,37.22,28.38
SAF,HWF,22.5,14.84,31.14,24.78
SAH,HWF,28.1,22.00,32.79,31.01
SEA,HWF,25.8,11.87,34.99,28.46
EAS,HWF,20.2,12.40,29.82,23.11
SAS,HWF,23.4,12.25,29.54,25.55
CAS,HWF,23.1,16.48,30.18,25.37
TIB,HWF,22.6,17.73,29.71,26.06
NAS,HWF,16.9,7.84,24.81,20.90
AUS,HWD,4.58,2.06,9.47,5.94
AMZ,HWD,16.1,5.33,31.44,22.37
SSA,HWD,3.40,1.59,6.71,3.91
CAM,HWD,17.5,5.67,29.79,19.89
WNA,HWD,6.41,2.68,13.85,8.87
CAN,HWD,6.15,1.64,15.71,8.12
ENA,HWD,8.42,2.54,26.70,10.24
ALA,HWD,4.53,2.61,15.13,6.92
GRL,HWD,6.12,3.31,23.02,10.38
MED,HWD,8.55,3.96,17.48,11.45
NEU,HWD,4.22,1.87,12.98,7.24
WAF,HWD,13.3,2.01,32.09,17.06
EAF,HWD,16.8,2.45,34.49,21.98
SAF,HWD,6.55,2.76,12.98,7.81
SAH,HWD,17.5,6.93,29.96,23.24
SEA,HWD,7.84,2.71,28.82,13.83
EAS,HWD,4.82,2.02,17.65,5.96
SAS,HWD,7.84,3.88,19.77,13.55
CAS,HWD,6.85,3.63,16.68,9.84
TIB,HWD,5.53,3.42,13.86,7.07
NAS,HWD,4.49,1.43,9.87,5.71
AUS,HWA,1.17,0.76,1.43,1.31
AMZ,HWA,1.51,1.10,2.00,1.77
SSA,HWA,1.21,0.50,1.67,1.34
CAM,HWA,1.31,0.59,1.80,1.46
WNA,HWA,1.74,1.05,2.12,1.86
CAN,HWA,1.73,0.89,2.65,1.93
ENA,HWA,1.65,0.92,2.40,1.88
ALA,HWA,1.44,0.62,2.98,1.68
GRL,HWA,1.30,0.73,2.16,1.53
MED,HWA,1.90,1.64,2.36,2.15
NEU,HWA,1.47,0.57,2.50,1.82
WAF,HWA,1.48,1.18,1.76,1.55
EAF,HWA,1.45,1.09,2.50,1.56
SAF,HWA,1.53,1.22,2.47,1.63
SAH,HWA,1.56,1.27,1.78,1.61
SEA,HWA,1.37,0.52,2.03,1.63
EAS,HWA,1.54,1.18,2.23,1.71
CAS,HWA,1.73,1.37,2.45,1.96
TIB,HWA,1.60,1.28,2.25,1.89
NAS,HWA,1.81,0.46,2.63,2.06
AUS,HWM,0.39,0.01,0.56,0.45
AMZ,HWM,0.75,0.32,1.12,0.93
SSA,HWM,0.32,0.13,0.57,0.39
CAM,HWM,0.64,0.03,0.93,0.71
WNA,HWM,0.29,-0.01,0.61,0.38
CAN,HWM,0.33,0.15,0.79,0.47
ENA,HWM,0.35,0.19,0.73,0.48
ALA,HWM,0.19,-0.29,0.76,0.45
GRL,HWM,0.20,-0.07,0.60,0.34
MED,HWM,0.38,0.16,0.56,0.42
NEU,HWM,0.32,-0.53,0.62,0.43
WAF,HWM,0.65,0.33,1.16,0.77
EAF,HWM,0.67,0.24,1.00,0.79
SAF,HWM,0.59,0.29,0.98,0.70
SAH,HWM,0.53,0.19,0.86,0.57
SEA,HWM,0.47,-0.02,1.37,0.66
EAS,HWM,0.45,0.11,0.79,0.53
CAS,HWM,0.38,0.15,0.68,0.44
TIB,HWM,0.46,0.29,0.73,0.52
NAS,HWM,0.32,-0.66,0.65,0.55
